start,end,days
1,8228,1
2,8229,37
2,8229,78
3,8230,132
2,8229,151
3,8230,154
4,8231,170
2,8229,218
5,8232,219
5,8232,243
6,8233,296
2,8229,301
2,8229,377
3,8230,381
7,8234,385
8,8228,385
4,8231,388
9,8235,396
3,8230,403
2,8229,403
3,8230,433
10,8236,455
2,8229,466
7,8234,564
5,8232,579
2,8229,624
4,8231,647
3,8230,675
2,8229,693
3,8230,716
11,8237,730
12,8238,743
4,8231,743
4,8231,810
13,8239,855
2,8229,855
5,8232,873
14,8240,905
15,8241,940
13,8239,960
2,8229,990
15,8241,1027
15,8241,1073
16,8242,1143
13,8239,1152
17,8243,1154
18,8244,1178
5,8232,1200
5,8232,1215
4,8231,1227
19,8245,1256
12,8238,1302
20,8246,1308
21,8247,1309
22,8248,1315
23,8249,1341
4,8231,1402
18,8250,1452
12,8238,1497
5,8232,1509
24,8251,1530
5,8232,1532
25,8252,1544
13,8239,1556
26,8253,1601
4,8231,1608
5,8232,1631
3,8230,1644
27,8254,1652
5,8232,1665
5,8232,1678
28,8255,1683
12,8238,1707
13,8239,1714
29,8256,1725
19,8245,1730
30,8257,1772
12,8238,1790
3,8230,1798
9,8235,1806
5,8232,1815
5,8232,1828
31,8258,1909
32,8259,1915
29,8256,1926
29,8256,1997
17,8250,2023
33,8260,2054
5,8232,2064
4,8231,2076
34,8261,2080
9,8235,2099
5,8232,2128
17,8250,2132
25,8252,2234
5,8232,2286
4,8231,2291
2,8229,2314
4,8231,2334
35,8262,2344
17,8250,2368
36,8263,2378
4,8231,2378
37,8264,2383
4,8231,2413
5,8232,2439
17,8250,2472
4,8231,2495
28,8255,2510
17,8250,2522
13,8239,2525
25,8252,2535
29,8256,2558
5,8232,2562
17,8250,2571
2,8229,2575
15,8241,2585
32,8259,2589
35,8262,2596
4,8231,2603
5,8232,2611
20,8261,2628
32,8259,2635
28,8255,2651
32,8259,2690
15,8241,2707
38,8265,2746
2,8229,2756
15,8241,2757
5,8232,2775
38,8265,2786
5,8232,2806
38,8265,2808
4,8231,2831
