,start,end,days
0,0,398,137
1,1,398,102
2,2,398,94
3,3,398,71
4,4,398,68
5,5,398,57
6,6,398,123
7,7,398,111
8,8,398,146
9,9,398,89
10,10,398,73
11,11,398,142
12,12,398,144
13,13,398,62
14,14,398,148
15,15,398,117
16,16,398,116
17,17,398,111
18,18,398,107
19,19,398,108
20,20,398,99
21,21,398,104
22,22,398,93
23,23,398,122
24,24,398,88
25,25,398,71
26,26,398,95
27,27,398,83
28,28,398,66
29,29,398,63
30,30,398,75
31,31,398,53
32,32,398,65
33,33,398,50
34,34,398,44
35,35,398,40
36,36,398,30
37,37,398,29
38,38,398,145
39,39,398,98
40,40,398,95
41,41,398,78
42,42,398,100
43,43,398,30
44,44,398,49
45,45,398,36
46,46,398,24
47,47,398,76
48,48,398,143
49,49,398,26
50,50,398,147
51,51,398,118
52,52,398,100
53,53,398,104
54,54,398,99
55,55,398,94
56,56,398,93
57,57,398,85
58,58,398,97
59,59,398,104
60,60,398,84
61,61,398,79
62,62,398,81
63,63,398,75
64,64,398,87
65,65,398,62
66,66,398,67
67,67,398,107
68,68,398,87
69,69,398,49
70,70,398,47
71,71,398,76
72,72,398,19
73,73,398,18
74,74,398,6
75,75,398,150
76,76,398,146
77,77,398,135
78,78,398,143
79,79,398,141
80,80,398,120
81,81,398,119
82,82,398,118
83,83,398,119
84,84,398,118
85,85,398,114
86,86,398,125
87,87,398,110
88,88,398,110
89,89,398,106
90,90,398,104
91,91,398,104
92,92,398,101
93,93,398,114
94,94,398,95
95,95,398,94
96,96,398,101
97,97,398,98
98,98,398,139
99,99,398,89
100,100,398,131
101,101,398,97
102,102,398,87
103,103,398,86
104,104,398,85
105,105,398,84
106,106,398,85
107,107,398,102
108,108,398,77
109,109,398,76
110,110,398,74
111,111,398,74
112,112,398,74
113,113,398,71
114,114,398,89
115,115,398,64
116,116,398,64
117,117,398,69
118,118,398,59
119,119,398,57
120,120,398,54
121,121,398,51
122,122,398,126
123,123,398,51
124,124,398,47
125,125,398,47
126,126,398,47
127,127,398,45
128,128,398,43
129,129,398,41
130,130,398,40
131,131,398,41
132,132,398,37
133,133,398,52
134,134,398,47
135,135,398,37
136,136,398,35
137,137,398,33
138,138,398,37
139,139,398,26
140,140,398,24
141,141,398,22
142,142,398,22
143,143,398,30
144,144,398,22
145,145,398,21
146,146,398,18
147,147,398,15
148,148,398,13
149,149,398,28
150,150,398,7
151,151,398,152
152,152,398,150
153,153,398,150
154,154,398,149
155,155,398,149
156,156,398,146
157,157,398,143
158,158,398,142
159,159,398,136
160,160,398,135
161,161,398,132
162,162,398,131
163,163,398,128
164,164,398,125
165,165,398,125
166,166,398,120
167,167,398,113
168,168,398,112
169,169,398,112
170,170,398,112
171,171,398,112
172,172,398,111
173,173,398,111
174,174,398,106
175,175,398,105
176,176,398,104
177,177,398,103
178,178,398,103
179,179,398,103
180,180,398,101
181,181,398,100
182,182,398,100
183,183,398,100
184,184,398,100
185,185,398,99
186,186,398,97
187,187,398,97
188,188,398,93
189,189,398,93
190,190,398,93
191,191,398,98
192,192,398,91
193,193,398,91
194,194,398,91
195,195,398,91
196,196,398,90
197,197,398,90
198,198,398,90
199,199,398,90
200,200,398,89
201,201,398,89
202,202,398,89
203,203,398,88
204,204,398,88
205,205,398,88
206,206,398,88
207,207,398,88
208,208,398,88
209,209,398,88
210,210,398,87
211,211,398,87
212,212,398,87
213,213,398,86
214,214,398,86
215,215,398,86
216,216,398,86
217,217,398,86
218,218,398,86
219,219,398,85
220,220,398,84
221,221,398,83
222,222,398,83
223,223,398,82
224,224,398,82
225,225,398,89
226,226,398,82
227,227,398,81
228,228,398,80
229,229,398,78
230,230,398,78
231,231,398,77
232,232,398,77
233,233,398,76
234,234,398,78
235,235,398,76
236,236,398,76
237,237,398,75
238,238,398,75
239,239,398,75
240,240,398,75
241,241,398,75
242,242,398,75
243,243,398,74
244,244,398,74
245,245,398,74
246,246,398,74
247,247,398,73
248,248,398,72
249,249,398,71
250,250,398,71
251,251,398,71
252,252,398,71
253,253,398,71
254,254,398,71
255,255,398,71
256,256,398,71
257,257,398,70
258,258,398,70
259,259,398,70
260,260,398,69
261,261,398,69
262,262,398,70
263,263,398,69
264,264,398,69
265,265,398,68
266,266,398,68
267,267,398,68
268,268,398,68
269,269,398,68
270,270,398,67
271,271,398,67
272,272,398,67
273,273,398,66
274,274,398,66
275,275,398,66
276,276,398,69
277,277,398,62
278,278,398,61
279,279,398,60
280,280,398,59
281,281,398,59
282,282,398,59
283,283,398,58
284,284,398,58
285,285,398,57
286,286,398,56
287,287,398,55
288,288,398,55
289,289,398,54
290,290,398,54
291,291,398,54
292,292,398,53
293,293,398,53
294,294,398,53
295,295,398,53
296,296,398,53
297,297,398,53
298,298,398,53
299,299,398,88
300,300,398,53
301,301,398,52
302,302,398,52
303,303,398,51
304,304,398,51
305,305,398,50
306,306,398,50
307,307,398,50
308,308,398,50
309,309,398,50
310,310,398,50
311,311,398,49
312,312,398,48
313,313,398,48
314,314,398,48
315,315,398,47
316,316,398,47
317,317,398,47
318,318,398,47
319,319,398,47
320,320,398,47
321,321,398,44
322,322,398,60
323,323,398,44
324,324,398,44
325,325,398,43
326,326,398,42
327,327,398,42
328,328,398,41
329,329,398,41
330,330,398,41
331,331,398,73
332,332,398,40
333,333,398,40
334,334,398,39
335,335,398,39
336,336,398,39
337,337,398,39
338,338,398,38
339,339,398,38
340,340,398,37
341,341,398,37
342,342,398,37
343,343,398,36
344,344,398,36
345,345,398,36
346,346,398,36
347,347,398,36
348,348,398,35
349,349,398,35
350,350,398,35
351,351,398,33
352,352,398,32
353,353,398,32
354,354,398,32
355,355,398,32
356,356,398,32
357,357,398,32
358,358,398,32
359,359,398,31
360,360,398,31
361,361,398,31
362,362,398,30
363,363,398,30
364,364,398,30
365,365,398,30
366,366,398,30
367,367,398,29
368,368,398,29
369,369,398,29
370,370,398,29
371,371,398,29
372,372,398,29
373,373,398,28
374,374,398,28
375,375,398,28
376,376,398,26
377,377,398,28
378,378,398,26
379,379,398,25
380,380,398,26
381,381,398,25
382,382,398,24
383,383,398,24
384,384,398,24
385,385,398,22
386,386,398,22
387,387,398,22
388,388,398,21
389,389,398,21
390,390,398,21
391,391,398,19
392,392,398,18
393,393,398,18
394,394,398,18
395,395,398,17
396,396,398,16
397,397,398,15
398,398,6,33
399,398,3286,70
400,398,21,104
401,398,42,96
402,398,26,95
403,398,33,75
404,398,75,149
405,398,18,107
406,398,9,89
407,398,24,151
408,398,273,143
409,398,36,30
410,398,44,49
411,398,11,142
412,398,50,147
413,398,52,100
414,398,56,93
415,398,22,93
416,398,41,86
417,398,25,71
418,398,10,66
419,398,29,62
420,398,13,63
421,398,73,18
422,398,77,152
423,398,14,140
424,398,81,119
425,398,83,119
426,398,90,104
427,398,19,106
428,398,3287,96
429,398,39,97
430,398,98,139
431,398,191,98
432,398,100,131
433,398,57,87
434,398,58,97
435,398,40,85
436,398,62,80
437,398,3288,83
438,398,237,113
439,398,63,75
440,398,110,74
441,398,113,71
442,398,108,69
443,398,114,89
444,398,27,78
445,398,64,87
446,398,30,75
447,398,23,53
448,398,32,53
449,398,123,53
450,398,31,53
451,398,312,48
452,398,128,43
453,398,134,47
454,398,35,40
455,398,138,37
456,398,45,36
457,398,130,40
458,398,103,86
459,398,140,24
460,398,37,30
461,398,143,30
462,398,145,21
463,398,47,76
464,398,72,28
465,398,147,15
466,398,557,14
467,398,148,13
468,398,149,28
469,398,49,3
470,398,150,6
471,398,74,6
472,398,151,152
473,398,3289,152
474,398,3290,151
475,398,3291,151
476,398,152,151
477,398,153,150
478,398,154,151
479,398,155,149
480,398,156,147
481,398,76,146
482,398,157,144
483,398,158,142
484,398,3292,133
485,398,161,132
486,398,8,132
487,398,162,131
488,398,79,129
489,398,38,129
490,398,163,128
491,398,3293,127
492,398,164,125
493,398,165,125
494,398,3294,123
495,398,80,123
496,398,574,119
497,398,82,118
498,398,84,117
499,398,1705,116
500,398,16,116
501,398,3295,115
502,398,2580,115
503,398,51,114
504,398,166,114
505,398,3296,113
506,398,3297,113
507,398,15,113
508,398,167,113
509,398,169,112
510,398,86,112
511,398,170,112
512,398,85,112
513,398,168,112
514,398,2939,112
515,398,172,111
516,398,17,111
517,398,173,111
518,398,171,111
519,398,88,109
520,398,3298,109
521,398,89,106
522,398,174,105
523,398,175,105
524,398,87,104
525,398,176,104
526,398,91,103
527,398,3299,106
528,398,177,103
529,398,178,103
530,398,179,103
531,398,2434,102
532,398,1703,102
533,398,3300,101
534,398,182,101
535,398,92,100
536,398,53,100
537,398,185,100
538,398,183,100
539,398,93,98
540,398,2331,98
541,398,904,98
542,398,184,98
543,398,3301,98
544,398,186,97
545,398,3302,97
546,398,187,97
547,398,105,97
548,398,1618,96
549,398,94,95
550,398,3303,94
551,398,3304,94
552,398,96,94
553,398,55,94
554,398,1012,94
555,398,188,93
556,398,97,93
557,398,189,93
558,398,190,93
559,398,192,91
560,398,194,91
561,398,3305,91
562,398,196,90
563,398,195,90
564,398,193,90
565,398,197,90
566,398,198,90
567,398,199,90
568,398,201,90
569,398,3306,89
570,398,3142,89
571,398,99,89
572,398,200,89
573,398,203,89
574,398,202,88
575,398,204,88
576,398,3307,88
577,398,208,88
578,398,206,88
579,398,205,100
580,398,207,88
581,398,209,88
582,398,101,87
583,398,1907,87
584,398,211,87
585,398,102,87
586,398,212,87
587,398,214,86
588,398,215,86
589,398,213,86
590,398,3129,86
591,398,210,86
592,398,217,86
593,398,216,86
594,398,218,86
595,398,3308,86
596,398,219,85
597,398,104,85
598,398,106,85
599,398,107,84
600,398,2,84
601,398,220,83
602,398,221,83
603,398,222,83
604,398,3309,83
605,398,223,83
606,398,224,82
607,398,59,82
608,398,225,82
609,398,226,82
610,398,3310,81
611,398,227,81
612,398,3311,80
613,398,60,80
614,398,2848,80
615,398,3312,80
616,398,2627,80
617,398,3313,79
618,398,228,78
619,398,3314,78
620,398,229,78
621,398,230,78
622,398,3315,77
623,398,61,77
624,398,234,77
625,398,231,77
626,398,232,77
627,398,3316,76
628,398,235,76
629,398,241,76
630,398,236,76
631,398,109,76
632,398,233,76
633,398,239,75
634,398,238,75
635,398,3317,75
636,398,242,75
637,398,3318,75
638,398,243,74
639,398,245,74
640,398,244,74
641,398,112,74
642,398,246,74
643,398,3319,74
644,398,3320,74
645,398,1022,83
646,398,247,73
647,398,7,72
648,398,248,72
649,398,249,71
650,398,255,71
651,398,252,71
652,398,253,71
653,398,250,71
654,398,254,71
655,398,3,71
656,398,1644,71
657,398,256,71
658,398,1265,71
659,398,257,70
660,398,265,70
661,398,259,70
662,398,262,70
663,398,261,70
664,398,3321,69
665,398,260,69
666,398,263,69
667,398,264,69
668,398,4,68
669,398,251,68
670,398,3322,68
671,398,929,68
672,398,266,68
673,398,267,68
674,398,268,68
675,398,270,67
676,398,269,67
677,398,3323,67
678,398,3324,67
679,398,271,67
680,398,272,67
681,398,3325,66
682,398,258,66
683,398,28,66
684,398,274,66
685,398,1844,65
686,398,115,65
687,398,276,64
688,398,277,62
689,398,65,62
690,398,278,61
691,398,66,61
692,398,67,61
693,398,281,61
694,398,279,60
695,398,280,59
696,398,3326,59
697,398,3327,59
698,398,3328,59
699,398,117,59
700,398,282,59
701,398,118,59
702,398,3329,59
703,398,283,58
704,398,1216,58
705,398,116,64
706,398,284,58
707,398,2457,57
708,398,285,57
709,398,5,57
710,398,3330,56
711,398,286,56
712,398,3331,55
713,398,287,55
714,398,288,55
715,398,68,54
716,398,289,54
717,398,291,54
718,398,3332,54
719,398,290,54
720,398,296,53
721,398,3333,53
722,398,293,53
723,398,3047,53
724,398,295,53
725,398,120,53
726,398,301,53
727,398,294,53
728,398,298,53
729,398,299,53
730,398,300,52
731,398,302,52
732,398,121,51
733,398,303,51
734,398,122,51
735,398,3334,51
736,398,304,51
737,398,305,50
738,398,3049,50
739,398,307,50
740,398,308,50
741,398,309,50
742,398,311,50
743,398,310,50
744,398,3335,49
745,398,297,49
746,398,2071,48
747,398,313,48
748,398,314,48
749,398,315,47
750,398,316,47
751,398,317,47
752,398,319,47
753,398,318,47
754,398,124,47
755,398,125,115
756,398,320,47
757,398,126,47
758,398,306,46
759,398,127,45
760,398,3336,44
761,398,1652,44
762,398,321,44
763,398,323,44
764,398,2062,44
765,398,322,60
766,398,3337,44
767,398,70,43
768,398,324,43
769,398,3338,43
770,398,325,43
771,398,326,42
772,398,1359,42
773,398,327,42
774,398,328,41
775,398,329,41
776,398,330,41
777,398,331,41
778,398,3339,42
779,398,34,41
780,398,129,41
781,398,1382,40
782,398,332,40
783,398,333,40
784,398,71,39
785,398,334,39
786,398,131,39
787,398,1386,39
788,398,335,39
789,398,3340,38
790,398,337,38
791,398,338,38
792,398,339,38
793,398,132,37
794,398,3341,37
795,398,340,37
796,398,341,37
797,398,3342,37
798,398,342,37
799,398,345,36
800,398,344,36
801,398,343,36
802,398,3343,36
803,398,133,36
804,398,347,36
805,398,3344,36
806,398,346,36
807,398,135,35
808,398,3345,35
809,398,136,35
810,398,349,35
811,398,350,35
812,398,351,34
813,398,3346,33
814,398,3347,33
815,398,3348,33
816,398,352,32
817,398,353,32
818,398,354,32
819,398,355,32
820,398,137,32
821,398,356,32
822,398,357,32
823,398,358,32
824,398,359,31
825,398,360,31
826,398,361,31
827,398,3349,31
828,398,3350,31
829,398,363,30
830,398,43,30
831,398,3351,30
832,398,1590,30
833,398,364,30
834,398,362,30
835,398,365,30
836,398,3352,30
837,398,366,29
838,398,367,30
839,398,3353,29
840,398,368,29
841,398,371,29
842,398,369,29
843,398,370,29
844,398,372,29
845,398,3354,28
846,398,374,28
847,398,373,28
848,398,375,27
849,398,376,27
850,398,3355,26
851,398,139,26
852,398,377,26
853,398,378,26
854,398,380,26
855,398,382,25
856,398,3356,25
857,398,381,24
858,398,2581,24
859,398,383,24
860,398,3357,24
861,398,384,24
862,398,46,24
863,398,385,23
864,398,3358,22
865,398,3359,22
866,398,386,22
867,398,142,22
868,398,1687,22
869,398,1136,22
870,398,387,22
871,398,388,21
872,398,144,21
873,398,389,21
874,398,390,21
875,398,391,19
876,398,392,18
877,398,348,18
878,398,393,18
879,398,394,18
880,398,395,17
881,398,396,16
882,398,397,15
883,398,48,3
884,398,3360,114
885,398,3361,56
886,398,3362,28
887,398,2171,19
888,399,48,128
889,400,48,138
890,401,48,85
891,402,48,70
892,403,48,70
893,404,48,69
894,405,48,54
895,406,48,51
896,355,48,56
897,407,48,48
898,408,48,63
899,29,48,52
900,409,48,43
901,410,48,43
902,411,48,32
903,412,48,21
904,413,48,19
905,414,48,18
906,348,48,21
907,20,48,63
908,415,48,63
909,416,48,54
910,71,48,122
911,132,48,57
912,417,48,22
913,418,48,3
914,419,48,68
915,420,48,40
916,134,48,48
917,138,48,121
918,421,48,21
919,422,48,41
920,152,48,15
921,423,48,1
922,424,48,1
923,52,48,2
924,49,48,76
925,425,48,13
926,426,48,147
927,427,48,69
928,428,48,50
929,429,48,61
930,69,48,40
931,430,48,15
932,431,48,23
933,148,48,11
934,261,48,132
935,432,48,96
936,433,48,63
937,434,48,127
938,435,48,121
939,436,48,90
940,437,48,85
941,438,48,76
942,439,48,56
943,440,48,85
944,441,48,38
945,442,48,28
946,443,48,50
947,444,48,50
948,445,48,23
949,446,48,20
950,447,48,18
951,395,48,16
952,73,48,65
953,448,48,121
954,449,48,102
955,450,48,121
956,451,48,143
957,452,48,132
958,42,48,56
959,453,48,21
960,454,48,16
961,455,48,15
962,95,48,44
963,45,48,27
964,456,48,121
965,275,48,107
966,457,48,104
967,458,48,99
968,459,48,59
969,460,48,58
970,461,48,55
971,462,48,27
972,135,48,41
973,463,48,18
974,464,48,9
975,465,48,9
976,466,48,15
977,467,48,3
978,468,48,3
979,469,48,136
980,470,48,134
981,79,48,132
982,471,48,128
983,19,48,114
984,472,48,114
985,67,48,107
986,372,48,63
987,473,48,108
988,474,48,60
989,301,48,52
990,475,48,49
991,476,48,47
992,477,48,45
993,478,48,26
994,479,48,21
995,480,48,20
996,481,48,20
997,482,48,21
998,483,48,19
999,484,48,63
1000,485,48,16
1001,50,48,15
1002,486,48,12
1003,487,48,18
1004,488,48,11
1005,489,48,9
1006,490,48,6
1007,143,48,5
1008,491,48,163
1009,492,48,11
1010,493,48,2
1011,153,48,146
1012,494,48,145
1013,495,48,139
1014,496,48,127
1015,54,48,127
1016,497,48,126
1017,237,48,121
1018,498,48,121
1019,78,48,138
1020,499,48,114
1021,500,48,108
1022,501,48,94
1023,502,48,89
1024,503,48,87
1025,504,48,84
1026,505,48,70
1027,506,48,67
1028,10,48,65
1029,507,48,65
1030,508,48,63
1031,509,48,60
1032,510,48,55
1033,511,48,55
1034,12,48,55
1035,362,48,49
1036,512,48,49
1037,304,48,47
1038,82,48,47
1039,513,48,47
1040,514,48,51
1041,515,48,44
1042,268,48,44
1043,136,48,38
1044,516,48,38
1045,341,48,37
1046,517,48,37
1047,518,48,35
1048,519,48,29
1049,520,48,28
1050,521,48,26
1051,522,48,25
1052,523,48,24
1053,524,48,23
1054,525,48,22
1055,526,48,22
1056,44,48,21
1057,527,48,21
1058,528,48,21
1059,529,48,20
1060,530,48,20
1061,531,48,19
1062,532,48,19
1063,533,48,19
1064,534,48,19
1065,535,48,19
1066,536,48,19
1067,537,48,19
1068,538,48,18
1069,392,48,18
1070,539,48,18
1071,540,48,18
1072,541,48,18
1073,542,48,18
1074,543,48,18
1075,544,48,18
1076,545,48,18
1077,546,48,18
1078,547,48,17
1079,548,48,17
1080,549,48,17
1081,550,48,16
1082,551,48,16
1083,552,48,16
1084,553,48,16
1085,554,48,15
1086,555,48,15
1087,556,48,15
1088,557,48,10
1089,558,48,10
1090,559,48,8
1091,560,48,6
1092,48,20,63
1093,48,71,122
1094,48,418,3
1095,48,148,11
1096,48,29,52
1097,48,3363,23
1098,48,430,23
1099,48,422,23
1100,48,421,23
1101,48,49,23
1102,48,425,9
1103,48,420,40
1104,48,3364,15
1105,48,152,23
1106,48,423,23
1107,48,467,23
1108,48,416,55
1109,48,963,52
1110,48,428,43
1111,48,417,12
