,Unnamed: 0,start,end,time,days
0,0,1,2,2004-04-15 05:56:01,1
1,1,3,4,2004-04-16 13:50:39,2
2,2,5,2,2004-04-19 13:39:51,5
3,3,6,7,2004-04-19 20:40:19,5
4,4,8,7,2004-04-19 20:42:36,5
5,5,9,10,2004-04-19 20:53:23,5
6,6,9,11,2004-04-19 20:54:13,5
7,7,12,13,2004-04-19 21:06:28,5
8,8,9,14,2004-04-19 21:15:54,5
9,9,9,15,2004-04-19 21:17:04,5
10,10,9,16,2004-04-19 21:18:15,5
11,11,9,17,2004-04-19 21:22:33,5
13,13,9,18,2004-04-19 21:29:20,5
14,14,19,18,2004-04-19 21:37:03,5
15,15,20,21,2004-04-19 22:09:04,5
16,16,19,22,2004-04-19 23:34:34,5
17,17,8,23,2004-04-19 23:37:23,5
18,18,9,24,2004-04-19 23:44:05,5
19,19,9,22,2004-04-19 23:44:16,5
20,20,25,21,2004-04-20 04:18:09,5
21,21,26,7,2004-04-20 08:12:05,6
22,22,27,28,2004-04-20 10:44:00,6
23,23,29,25,2004-04-20 14:34:43,6
24,24,30,31,2004-04-20 18:18:26,6
28,28,32,33,2004-04-20 18:27:03,6
29,29,34,35,2004-04-20 20:32:10,6
30,30,34,33,2004-04-20 20:35:18,6
31,31,36,37,2004-04-20 22:02:29,6
32,32,38,39,2004-04-21 00:14:09,6
33,33,36,40,2004-04-21 00:25:57,6
34,34,41,15,2004-04-21 00:38:25,6
35,35,41,11,2004-04-21 00:39:14,6
36,36,41,14,2004-04-21 00:41:02,6
37,37,41,13,2004-04-21 00:41:36,6
38,38,41,39,2004-04-21 00:57:22,6
39,39,41,42,2004-04-21 10:03:31,7
40,40,41,43,2004-04-21 10:39:04,7
41,41,9,40,2004-04-21 12:41:40,7
42,42,44,45,2004-04-21 13:11:08,7
43,43,46,22,2004-04-21 13:48:25,7
44,44,44,46,2004-04-21 13:57:02,7
45,45,47,46,2004-04-21 14:01:48,7
46,46,48,46,2004-04-21 14:18:03,7
47,47,9,49,2004-04-21 16:15:55,7
48,48,36,50,2004-04-21 16:35:15,7
49,49,44,51,2004-04-21 16:35:51,7
50,50,32,52,2004-04-21 16:40:56,7
51,51,36,32,2004-04-21 16:42:02,7
52,52,53,54,2004-04-21 16:46:35,7
53,53,36,55,2004-04-21 16:49:05,7
54,54,56,57,2004-04-21 16:49:08,7
56,56,36,58,2004-04-21 16:52:45,7
57,57,44,59,2004-04-21 16:55:20,7
58,58,51,58,2004-04-21 16:55:34,7
59,59,44,14,2004-04-21 16:57:52,7
60,60,36,56,2004-04-21 17:02:56,7
61,61,36,60,2004-04-21 17:08:37,7
62,62,56,61,2004-04-21 17:14:28,7
63,63,62,50,2004-04-21 17:20:09,7
65,65,32,59,2004-04-21 17:37:35,7
68,68,41,63,2004-04-21 17:56:59,7
69,69,41,64,2004-04-21 17:57:48,7
70,70,41,65,2004-04-21 17:58:02,7
71,71,41,56,2004-04-21 17:58:20,7
72,72,41,61,2004-04-21 17:59:21,7
74,74,41,52,2004-04-21 18:00:07,7
75,75,41,58,2004-04-21 18:00:38,7
76,76,41,59,2004-04-21 18:04:28,7
77,77,9,64,2004-04-21 18:05:24,7
78,78,9,58,2004-04-21 18:06:19,7
79,79,12,66,2004-04-21 18:06:59,7
80,80,32,58,2004-04-21 18:07:46,7
82,82,67,32,2004-04-21 18:11:54,7
83,83,41,32,2004-04-21 18:12:51,7
85,85,32,68,2004-04-21 18:14:41,7
86,86,68,56,2004-04-21 18:17:30,7
89,89,68,61,2004-04-21 18:20:18,7
91,91,67,8,2004-04-21 18:31:36,7
92,92,69,67,2004-04-21 18:43:10,7
93,93,70,51,2004-04-21 19:12:47,7
94,94,44,50,2004-04-21 19:14:49,7
96,96,71,58,2004-04-21 19:33:25,7
97,97,71,72,2004-04-21 19:34:41,7
99,99,72,71,2004-04-21 19:47:29,7
100,100,73,74,2004-04-21 19:54:09,7
101,101,74,73,2004-04-21 19:55:19,7
104,104,34,58,2004-04-21 20:01:54,7
105,105,44,75,2004-04-21 20:01:57,7
109,109,9,76,2004-04-21 20:05:39,7
110,110,32,77,2004-04-21 20:22:06,7
111,111,41,76,2004-04-21 20:35:06,7
112,112,41,78,2004-04-21 20:35:22,7
113,113,79,48,2004-04-21 20:41:34,7
114,114,79,63,2004-04-21 20:42:15,7
115,115,41,80,2004-04-21 20:43:38,7
116,116,79,58,2004-04-21 20:44:24,7
117,117,41,81,2004-04-21 20:44:32,7
118,118,79,70,2004-04-21 20:49:07,7
119,119,19,82,2004-04-21 20:56:11,7
120,120,19,72,2004-04-21 20:57:24,7
121,121,12,32,2004-04-21 20:57:46,7
122,122,19,64,2004-04-21 21:05:10,7
